Run_ID,2-hydroxyglutarate,lactate,glutamine,asparagine,aspartate,tryptophan,methionine
A101D_SKIN,5.8642557,6.0898066,5.6577501,4.9449126,5.7039661,6.0208901,5.8507948
A2058_SKIN,6.1961534,5.9546169,6.1059077,4.4445043,5.6244351,6.2318091,6.0661131
A375_SKIN,5.8086613,5.9889097,6.4727726,4.7618979,5.5518346,6.6463659,6.4627429
A549_LUNG,5.5577314,5.8444717,4.4040613,5.9079583,5.6377306,5.8783811,3.8479607
C32_SKIN,6.2204629,5.9170642,4.2344276,4.4316262,4.6014869,6.1667876,6.1163451
CALU3_LUNG,5.3580778,5.7170693,5.2538283,4.923542,5.2562988,5.6449058,5.1358844
CALU6_LUNG,5.7116706,6.0495141,5.8491601,5.7787463,6.3582324,6.1746065,6.0723711
CJM_SKIN,5.500463,5.7804677,6.0540963,5.9644652,5.9983787,5.4093179,5.723431
COLO792_SKIN,5.8810013,5.6499074,6.1945487,6.136849,6.0012195,5.9373223,5.9389361
COLO800_SKIN,6.0015304,6.1189853,5.4019698,6.1679233,6.1727834,5.507649,5.767501
COLO829_SKIN,5.8897245,6.0290218,5.8502127,5.9016858,5.8933017,5.6738288,5.746365
CORL105_LUNG,7.7526789,5.9250123,5.8094795,6.2445765,6.2267214,6.3222068,6.3320536
DV90_LUNG,5.9276937,5.9293203,5.8665214,6.3744812,6.181972,5.6936199,5.7194906
EKVX_LUNG,6.0178752,5.8895974,5.9255947,6.182623,6.024447,5.7903471,5.8512383
G361_SKIN,5.7606558,5.9860872,5.7343899,6.1671021,6.0608156,5.786793,5.9529392
HCC1195_LUNG,6.0715381,6.0799963,5.7616605,6.0632952,5.9958334,5.688815,5.7849666
HCC1833_LUNG,5.1949982,5.4214783,5.2635355,6.3681846,6.3448781,5.8563693,5.8200929
HCC2108_LUNG,6.0162468,5.3535375,5.3221106,6.0906387,5.7567958,5.6132396,5.4334121
HCC2279_LUNG,5.6005307,5.867646,5.8847985,6.1337634,6.2006922,5.8261646,5.9116306
HCC366_LUNG,6.1578895,5.7868279,5.9765227,5.8891528,5.7883006,5.923726,5.9733512
HCC4006_LUNG,6.1097665,5.9219471,5.7871662,6.1892383,5.9521565,5.6646574,5.6289346
HCC44_LUNG,5.6726874,6.2021749,4.7960639,6.2041936,5.8444973,5.9144264,5.7517365
HCC78_LUNG,6.5667104,6.1657387,4.8719225,6.1488244,5.5382668,4.7965707,5.9773279
HCC827_LUNG,5.5860927,5.926794,5.8626263,6.0801526,5.9347814,5.8211233,5.9434071
HMCB_SKIN,5.6306097,5.9340072,4.7805569,5.7637022,5.5248326,6.3456384,6.0793526
HOP62_LUNG,5.7947609,6.1009822,5.7429845,6.4047612,6.1029871,5.8383958,5.9593344
HS294T_SKIN,6.0885579,6.0917862,6.0916249,5.0474235,5.8714566,6.2456924,6.1672964
HS688AT_FIBROBLAST,5.8169978,5.9407194,6.3021572,5.2507982,6.064387,6.3121806,6.2955479
HS839T_FIBROBLAST,5.8544033,5.7468851,6.3214924,5.3427096,5.5856799,6.3001342,6.2829377
HS852T_SKIN,5.9392554,5.9369282,6.1494176,4.9427077,5.7703798,6.463592,6.0980319
HS934T_FIBROBLAST,5.7759955,5.7124641,6.2788565,4.8994901,5.5031261,6.2305814,6.2240052
HS936T_SKIN,5.7927354,6.2961928,5.9996425,4.4993617,5.4702176,6.3603227,6.2046793
HS944T_SKIN,5.629111,5.7876827,5.8112116,6.2575573,5.6813521,5.8079056,5.8946472
HT144_SKIN,6.2720771,5.9895595,5.5289303,6.0619363,5.9008893,5.6703314,5.799025
IGR1_SKIN,5.8012059,6.1058917,5.9337162,4.5857659,6.2824925,6.1651642,6.0509614
IGR37_SKIN,5.9800478,6.0878409,4.8909796,4.2576753,5.5649005,6.059765,5.8163181
IGR39_SKIN,5.6794291,5.7766261,6.279107,4.6918217,5.8346069,6.2845073,6.1628602
IPC298_SKIN,6.1094964,5.9431969,5.8575103,6.2013991,5.9583729,5.7735417,5.8361425
K029AX_SKIN,6.617088,5.8181846,5.8568323,5.9152133,5.8839763,5.8284638,5.6060051
LOXIMVI_SKIN,6.4633565,6.1213251,5.7950765,6.2361718,5.8881684,5.5735738,5.6460469
LXF289_LUNG,5.9171056,6.0128806,6.133493,5.9210157,5.8445514,4.7398727,4.9582012
MALME3M_SKIN,5.4577676,5.7690386,6.0421552,5.4425281,5.8658232,6.0479572,5.9718383
MDAMB435S_SKIN,5.8839763,5.9324492,5.8474429,6.0951446,5.8963672,5.5194044,5.7054987
MELHO_SKIN,5.7891472,6.1402554,6.040071,6.2537828,6.2295537,5.8704568,5.9571313
MELJUSO_SKIN,6.1183609,5.7799891,5.8956498,6.1218036,5.7484704,5.7940492,5.7585105
MEWO_SKIN,5.9996559,5.8005182,6.004956,5.7882667,6.1390607,6.3192701,5.9045569
MORCPR_LUNG,6.3661598,6.0354678,6.4136545,6.2629154,5.8165433,5.6665369,5.7802305
PC14_LUNG,5.7284083,6.0962744,5.5971247,6.1695694,6.3263579,6.1249185,6.1223295
RERFLCAD1_LUNG,5.9640467,6.0683112,6.1463283,5.9906624,6.1684692,6.1232228,6.1549347
RERFLCAD2_LUNG,5.7128584,5.9163083,5.8911579,6.0770677,5.9358648,5.9298857,5.8312003
RERFLCMS_LUNG,5.7620545,5.7385168,6.1562782,5.8817649,6.2312824,6.2075994,5.9562306
RPMI7951_SKIN,6.1699853,6.0999844,6.0080304,5.5054118,5.9747044,6.0024744,5.7904598
RVH421_SKIN,6.1214169,5.8850299,4.7651525,6.4467115,5.9625508,4.5272466,5.6718246
SH4_SKIN,5.9389203,6.2538041,6.2866295,5.1676682,5.471456,6.5284326,6.3399386
SKLU1_LUNG,5.6948138,5.4854102,6.1460956,5.0833633,5.3768916,6.2183674,5.995353
SKMEL1_SKIN,6.0380273,5.8751342,5.8082747,5.1589937,5.5179579,5.9617971,5.5214712
SKMEL24_SKIN,5.7867312,5.678831,6.0143008,5.8011513,5.9051694,6.1493025,5.8776981
SKMEL28_SKIN,6.1888483,6.0556457,5.8760496,5.590913,5.8229361,6.350775,6.0449728
SKMEL3_SKIN,6.3856436,5.9251099,5.5772775,5.9617369,6.1252337,5.5989747,5.7427001
SKMEL30_SKIN,6.0601482,5.8227063,5.9674964,6.1788312,5.9418885,5.7996236,5.87978
SKMEL31_SKIN,5.9326962,5.8585604,5.923556,5.5311748,6.0124349,6.071487,5.8479846
SKMEL5_SKIN,6.1845267,5.8600773,5.9253984,6.0106048,5.9083833,5.6519631,5.7401361
UACC257_SKIN,5.8005119,5.749626,5.8843808,6.1858011,6.5945338,5.6680862,5.820207
UACC62_SKIN,5.9479025,5.9925386,5.5540589,6.0543673,5.7772135,5.69856,5.7155209
WM115_SKIN,5.9648188,5.9070959,5.9514436,5.6586244,5.8284863,6.1187287,5.8243816
WM1799_SKIN,6.0001868,5.9318267,6.1651822,6.2671211,5.9630709,5.7469815,5.901296
WM2664_SKIN,6.2091014,6.039304,5.9910875,5.6385184,5.7311122,5.9667444,5.8471496
WM793_SKIN,5.8795088,5.8571181,5.7938274,6.0766183,6.068732,5.5852063,5.7103746
WM88_SKIN,6.2202168,5.8616571,6.1088287,6.0827877,5.942284,5.9418592,6.0201545
WM983B_SKIN,6.3686314,6.1065816,5.6403506,6.252791,5.8656021,5.8737954,5.9568384
NCIH1395_LUNG,5.9386359,5.6105143,6.1552356,6.0306593,5.858562,5.8651552,5.9759021
NCIH1666_LUNG,6.0911016,6.0310813,5.9517639,5.200044,5.5729747,6.0832652,5.5446498
NCIH1755_LUNG,5.5662749,5.0003201,4.3868149,5.3456906,5.6334421,5.1841612,4.9734023
NCIH1975_LUNG,6.0114521,5.8247451,5.9684965,6.176577,6.2183963,5.7336247,5.778626
NCIH2087_LUNG,5.5876591,5.9760549,5.9761439,5.1010869,6.0542844,6.0305866,6.087022
NCIH2122_LUNG,5.518677,5.9526127,5.8167028,5.8901695,5.9200065,5.8694938,5.9536008
NCIH23_LUNG,5.7109849,6.0010243,6.0113496,6.0580883,5.9050121,5.7087613,5.8461154
NCIH358_LUNG,6.3867051,6.2632989,5.478087,5.9704684,5.7811235,5.8383541,5.8627343
NCIH441_LUNG,5.8757983,5.975479,5.7216734,6.1200542,6.0166747,5.8121158,5.9656034
