Run_ID,Response
IMmotion150-p01155-ar-28f34,0
IMmotion150-p03058-ar-c2dad,0
IMmotion150-p03363-ar-a74ac,0
IMmotion150-p03418-ar-d867a,0
IMmotion150-p03665-ar-04d83,1
IMmotion150-p04168-ar-9925b,0
IMmotion150-p05361-ar-cd767,0
IMmotion150-p05370-ar-27be5,0
IMmotion150-p05544-ar-43b75,1
IMmotion150-p06184-ar-828f7,0
IMmotion150-p07343-ar-2bb4a,1
IMmotion150-p07850-ar-50704,0
IMmotion150-p08100-ar-c4519,0
IMmotion150-p09050-ar-32c34,1
IMmotion150-p09862-ar-3ec4d,1
IMmotion150-p10447-ar-3c1db,0
IMmotion150-p10717-ar-0e5a9,1
IMmotion150-p11316-ar-e45c7,0
IMmotion150-p12053-ar-48bda,0
IMmotion150-p13588-ar-5af67,0
IMmotion150-p14153-ar-71492,0
IMmotion150-p14538-ar-1e0a2,0
IMmotion150-p14593-ar-9020f,1
IMmotion150-p14998-ar-dc07b,0
IMmotion150-p16409-ar-85d99,1
IMmotion150-p16751-ar-7ebff,0
IMmotion150-p17379-ar-faed6,0
IMmotion150-p17426-ar-6ae0d,0
IMmotion150-p17615-ar-f7d9d,0
IMmotion150-p18226-ar-4f0a6,0
IMmotion150-p18256-ar-fbb29,0
IMmotion150-p18896-ar-ddffc,0
IMmotion150-p19016-ar-c751b,1
IMmotion150-p19507-ar-db0d1,0
IMmotion150-p20763-ar-edbe1,0
IMmotion150-p21222-ar-1418a,0
IMmotion150-p21389-ar-a2f5d,0
IMmotion150-p21589-ar-55cc6,1
IMmotion150-p25799-ar-49c4c,0
IMmotion150-p26304-ar-d7dcd,1
IMmotion150-p26467-ar-a6506,0
IMmotion150-p27487-ar-1478d,0
IMmotion150-p28132-ar-99560,0
IMmotion150-p28238-ar-3482d,0
IMmotion150-p30781-ar-4ae11,0
IMmotion150-p31107-ar-a401d,1
IMmotion150-p32412-ar-d386a,0
IMmotion150-p32845-ar-b9ecc,0
IMmotion150-p32922-ar-6366a,0
IMmotion150-p33581-ar-1342d,1
IMmotion150-p33602-ar-6d415,0
IMmotion150-p34855-ar-89f86,0
IMmotion150-p35317-ar-355c3,1
IMmotion150-p35813-ar-90caf,1
IMmotion150-p36298-ar-fad25,0
IMmotion150-p36954-ar-44107,0
IMmotion150-p37011-ar-a4d25,0
IMmotion150-p37093-ar-3d98a,0
IMmotion150-p37173-ar-293a5,1
IMmotion150-p38868-ar-e9e28,0
IMmotion150-p40536-ar-3579c,0
IMmotion150-p41186-ar-1d209,0
IMmotion150-p43682-ar-c925d,0
IMmotion150-p43872-ar-6c7f9,1
IMmotion150-p44376-ar-ac07f,1
IMmotion150-p45459-ar-1af67,0
IMmotion150-p46605-ar-eb284,1
IMmotion150-p47331-ar-ab299,1
IMmotion150-p47721-ar-71f6b,0
IMmotion150-p48663-ar-37ce7,0
IMmotion150-p48954-ar-37f99,0
IMmotion150-p49991-ar-5d93a,1
IMmotion150-p50066-ar-6c06c,0
IMmotion150-p50697-ar-605a2,1
IMmotion150-p50830-ar-c3b4a,0
IMmotion150-p50976-ar-26f6d,0
IMmotion150-p51832-ar-890dd,0
IMmotion150-p52272-ar-5b320,1
IMmotion150-p52299-ar-8e4c5,0
IMmotion150-p52837-ar-02ccc,1
IMmotion150-p53162-ar-05824,0
IMmotion150-p53431-ar-d8ed2,0
IMmotion150-p54120-ar-0f1aa,1
IMmotion150-p54409-ar-fe8d6,1
IMmotion150-p55061-ar-46457,0
IMmotion150-p55684-ar-6de0a,1
