"","Gene","Count","Thresh.Name","Thresh.Value"
"1","A1CF",3,"narrow",0.002
"2","A2M",2,"narrow",0.002
"3","A2ML1",38,"narrow",0.002
"4","ABCA13",1,"narrow",0.002
"5","ABCA3",2,"narrow",0.002
"6","ABCA8",2,"narrow",0.002
"7","ABCB1",23,"narrow",0.002
"8","ABCB11",22,"narrow",0.002
"9","ABCB5",58,"narrow",0.002
"10","ABCC11",89,"narrow",0.002
"11","ABCC12",17,"narrow",0.002
"12","ABCC6",1,"narrow",0.002
"13","ABI3BP",10,"narrow",0.002
"14","ACAA1",2,"narrow",0.002
"15","ACACA",1,"narrow",0.002
"16","ACADL",12,"narrow",0.002
"17","ACAN",9,"narrow",0.002
"18","ACAT2",1,"narrow",0.002
"19","ACE2",68,"narrow",0.002
"20","ACER1",71,"narrow",0.002
"21","ACKR3",2,"narrow",0.002
"22","ACOT11",1,"narrow",0.002
"23","ACOT12",1,"narrow",0.002
"24","ACOT6",1,"narrow",0.002
"25","ACP5",1,"narrow",0.002
"26","ACSBG1",9,"narrow",0.002
"27","ACTA2",109,"narrow",0.002
"28","ACTG2",102,"narrow",0.002
"29","ACTN2",160,"narrow",0.002
"30","ACVR1C",3,"narrow",0.002
"31","ADAM11",4,"narrow",0.002
"32","ADAM33",2,"narrow",0.002
"33","ADAMTS1",5,"narrow",0.002
"34","ADAMTS19",1,"narrow",0.002
"35","ADAMTS2",142,"narrow",0.002
"36","ADAMTS4",163,"narrow",0.002
"37","ADAMTS5",3,"narrow",0.002
"38","ADAMTSL1",187,"narrow",0.002
"39","ADAMTSL3",1,"narrow",0.002
"40","ADAMTSL4",15,"narrow",0.002
"41","ADAP1",2,"narrow",0.002
"42","ADARB2",74,"narrow",0.002
"43","ADCY2",70,"narrow",0.002
"44","ADCY4",3,"narrow",0.002
"45","ADCY5",16,"narrow",0.002
"46","ADCY9",1,"narrow",0.002
"47","ADCYAP1",11,"narrow",0.002
"48","ADH4",1,"narrow",0.002
"49","ADRA2A",3,"narrow",0.002
"50","AFF3",75,"narrow",0.002
"51","AGAP2",25,"narrow",0.002
"52","AGR3",3,"narrow",0.002
"53","AGT",51,"narrow",0.002
"54","AGTR1",161,"narrow",0.002
"55","AGXT",5,"narrow",0.002
"56","AK5",31,"narrow",0.002
"57","AK8",1,"narrow",0.002
"58","AKNAD1",3,"narrow",0.002
"59","AKR1B10",3,"narrow",0.002
"60","AKR1B15",1,"narrow",0.002
"61","AKR1C1",1,"narrow",0.002
"62","AKR1D1",1,"narrow",0.002
"63","AKR7A3",23,"narrow",0.002
"64","ALB",21,"narrow",0.002
"65","ALDH1A1",9,"narrow",0.002
"66","ALDH1A2",109,"narrow",0.002
"67","ALDH3A1",1,"narrow",0.002
"68","ALDH3A2",2,"narrow",0.002
"69","ALOX15",24,"narrow",0.002
"70","ALOX15B",4,"narrow",0.002
"71","ALOX5",5,"narrow",0.002
"72","ALPI",63,"narrow",0.002
"73","ALPK2",35,"narrow",0.002
"74","ALPL",1,"narrow",0.002
"75","ALPP",18,"narrow",0.002
"76","AMBP",2,"narrow",0.002
"77","AMN",1,"narrow",0.002
"78","AMPH",11,"narrow",0.002
"79","AMTN",1,"narrow",0.002
"80","AMZ1",17,"narrow",0.002
"81","ANAPC16",1,"narrow",0.002
"82","ANGPTL2",36,"narrow",0.002
"83","ANK1",3,"narrow",0.002
"84","ANKRD1",1,"narrow",0.002
"85","ANKRD30A",62,"narrow",0.002
"86","ANKRD30B",110,"narrow",0.002
"87","ANKRD34A",2,"narrow",0.002
"88","ANKRD40",1,"narrow",0.002
"89","ANKRD62",5,"narrow",0.002
"90","ANKRD65",19,"narrow",0.002
"91","ANKS1B",1,"narrow",0.002
"92","ANKS4B",35,"narrow",0.002
"93","ANO3",21,"narrow",0.002
"94","ANO4",5,"narrow",0.002
"95","ANXA10",3,"narrow",0.002
"96","ANXA13",10,"narrow",0.002
"97","ANXA4",1,"narrow",0.002
"98","ANXA8",14,"narrow",0.002
"99","ANXA8L1",6,"narrow",0.002
"100","AOAH",1,"narrow",0.002
"101","AOC1",1,"narrow",0.002
"102","AP3B2",1,"narrow",0.002
"103","AP4B1",9,"narrow",0.002
"104","APBB1IP",1,"narrow",0.002
"105","APBB2",1,"narrow",0.002
"106","APCDD1",1,"narrow",0.002
"107","APCDD1L",24,"narrow",0.002
"108","APLN",2,"narrow",0.002
"109","APOD",27,"narrow",0.002
"110","APOF",98,"narrow",0.002
"111","APOL4",1,"narrow",0.002
"112","AQP2",20,"narrow",0.002
"113","AQP5",59,"narrow",0.002
"114","AQP9",4,"narrow",0.002
"115","ARC",56,"narrow",0.002
"116","ARHGAP20",2,"narrow",0.002
"117","ARHGAP4",1,"narrow",0.002
"118","ARHGDIG",2,"narrow",0.002
"119","ARHGEF25",6,"narrow",0.002
"120","ARHGEF33",1,"narrow",0.002
"121","ARL9",3,"narrow",0.002
"122","ARNT2",71,"narrow",0.002
"123","ARSG",8,"narrow",0.002
"124","ART3",39,"narrow",0.002
"125","ASAH2",1,"narrow",0.002
"126","ASB4",9,"narrow",0.002
"127","ASCC1",18,"narrow",0.002
"128","ASCL4",8,"narrow",0.002
"129","ASIC4",6,"narrow",0.002
"130","ASNS",1,"narrow",0.002
"131","ASPN",9,"narrow",0.002
"132","ASTL",6,"narrow",0.002
"133","ASTN1",2,"narrow",0.002
"134","ATCAY",1,"narrow",0.002
"135","ATP10B",8,"narrow",0.002
"136","ATP13A5",2,"narrow",0.002
"137","ATP1A4",1,"narrow",0.002
"138","ATP1B2",3,"narrow",0.002
"139","ATP2A3",4,"narrow",0.002
"140","ATP2B2",24,"narrow",0.002
"141","ATP6V0D2",28,"narrow",0.002
"142","ATP8A2",21,"narrow",0.002
"143","ATP8B4",55,"narrow",0.002
"144","AVIL",2,"narrow",0.002
"145","AVPR1A",2,"narrow",0.002
"146","AVPR2",2,"narrow",0.002
"147","AZGP1",2,"narrow",0.002
"148","B3GALT1",33,"narrow",0.002
"149","B3GALT2",6,"narrow",0.002
"150","B3GNT6",11,"narrow",0.002
"151","B3GNT7",3,"narrow",0.002
"152","B3GNT8",1,"narrow",0.002
"153","BAIAP2L2",1,"narrow",0.002
"154","BAIAP3",2,"narrow",0.002
"155","BBOX1",67,"narrow",0.002
"156","BCAN",1,"narrow",0.002
"157","BCAS1",1,"narrow",0.002
"158","BCAS2",6,"narrow",0.002
"159","BCHE",2,"narrow",0.002
"160","BCL2A1",60,"narrow",0.002
"161","BCL2L14",2,"narrow",0.002
"162","BCL2L15",12,"narrow",0.002
"163","BCO2",8,"narrow",0.002
"164","BEGAIN",10,"narrow",0.002
"165","BEND4",9,"narrow",0.002
"166","BEX1",6,"narrow",0.002
"167","BFSP2",2,"narrow",0.002
"168","BGN",166,"narrow",0.002
"169","BHMT2",14,"narrow",0.002
"170","BIN2",4,"narrow",0.002
"171","BMP3",3,"narrow",0.002
"172","BMP7",1,"narrow",0.002
"173","BMX",2,"narrow",0.002
"174","BNIPL",14,"narrow",0.002
"175","BOC",14,"narrow",0.002
"176","BPI",2,"narrow",0.002
"177","BPIFA2",1,"narrow",0.002
"178","BPIFB1",6,"narrow",0.002
"179","BPIFB2",12,"narrow",0.002
"180","BRDT",15,"narrow",0.002
"181","BRINP1",60,"narrow",0.002
"182","BRINP3",45,"narrow",0.002
"183","BRPF1",1,"narrow",0.002
"184","BSND",1,"narrow",0.002
"185","BST1",6,"narrow",0.002
"186","BTBD16",35,"narrow",0.002
"187","BTNL9",4,"narrow",0.002
