,iter,geneset,stratified,model,test accuracy,test balanced accuracy,Test_ROC
0,0,LINCS,False,LogisticRegression,0.726,0.5,0.5
1,1,LINCS,False,LogisticRegression,0.735,0.5,0.5
2,2,LINCS,False,LogisticRegression,0.778,0.5,0.5
3,3,LINCS,False,LogisticRegression,0.761,0.5,0.5
4,4,LINCS,False,LogisticRegression,0.744,0.5,0.5
5,5,LINCS,False,LogisticRegression,0.803,0.5,0.5
6,6,LINCS,False,LogisticRegression,0.795,0.5,0.5
7,7,LINCS,False,LogisticRegression,0.761,0.5,0.5
8,8,LINCS,False,LogisticRegression,0.744,0.5,0.5
9,9,LINCS,False,LogisticRegression,0.735,0.5,0.5
10,10,LINCS,False,LogisticRegression,0.744,0.5,0.5
11,11,LINCS,False,LogisticRegression,0.735,0.5,0.5
12,12,LINCS,False,LogisticRegression,0.778,0.5,0.5
13,13,LINCS,False,LogisticRegression,0.692,0.5,0.5
14,14,LINCS,False,LogisticRegression,0.701,0.5,0.5
15,15,LINCS,False,LogisticRegression,0.761,0.5,0.5
16,16,LINCS,False,LogisticRegression,0.726,0.5,0.5
17,17,LINCS,False,LogisticRegression,0.769,0.5,0.5
18,18,LINCS,False,LogisticRegression,0.752,0.5,0.5
19,19,LINCS,False,LogisticRegression,0.769,0.5,0.5
20,20,LINCS,False,LogisticRegression,0.778,0.5,0.5
21,21,LINCS,False,LogisticRegression,0.718,0.5,0.5
22,22,LINCS,False,LogisticRegression,0.761,0.5,0.5
23,23,LINCS,False,LogisticRegression,0.735,0.5,0.5
24,24,LINCS,False,LogisticRegression,0.735,0.5,0.5
25,25,LINCS,False,LogisticRegression,0.795,0.5,0.5
26,26,LINCS,False,LogisticRegression,0.829,0.5,0.5
27,27,LINCS,False,LogisticRegression,0.692,0.5,0.5
28,28,LINCS,False,LogisticRegression,0.735,0.5,0.5
29,29,LINCS,False,LogisticRegression,0.718,0.5,0.5
30,30,LINCS,False,LogisticRegression,0.701,0.5,0.5
31,31,LINCS,False,LogisticRegression,0.778,0.5,0.5
32,32,LINCS,False,LogisticRegression,0.778,0.5,0.5
33,33,LINCS,False,LogisticRegression,0.675,0.5,0.5
34,34,LINCS,False,LogisticRegression,0.709,0.5,0.5
35,35,LINCS,False,LogisticRegression,0.761,0.5,0.5
36,36,LINCS,False,LogisticRegression,0.718,0.5,0.5
37,37,LINCS,False,LogisticRegression,0.675,0.5,0.5
38,38,LINCS,False,LogisticRegression,0.709,0.5,0.5
39,39,LINCS,False,LogisticRegression,0.744,0.5,0.5
40,40,LINCS,False,LogisticRegression,0.735,0.5,0.5
41,41,LINCS,False,LogisticRegression,0.744,0.5,0.5
42,42,LINCS,False,LogisticRegression,0.769,0.5,0.5
43,43,LINCS,False,LogisticRegression,0.667,0.5,0.5
44,44,LINCS,False,LogisticRegression,0.684,0.5,0.5
45,45,LINCS,False,LogisticRegression,0.744,0.5,0.5
46,46,LINCS,False,LogisticRegression,0.786,0.5,0.5
47,47,LINCS,False,LogisticRegression,0.795,0.5,0.5
48,48,LINCS,False,LogisticRegression,0.778,0.5,0.5
49,49,LINCS,False,LogisticRegression,0.726,0.5,0.5
50,50,LINCS,False,LogisticRegression,0.684,0.5,0.5
51,51,LINCS,False,LogisticRegression,0.786,0.5,0.5
52,52,LINCS,False,LogisticRegression,0.778,0.5,0.5
53,53,LINCS,False,LogisticRegression,0.718,0.5,0.5
54,54,LINCS,False,LogisticRegression,0.726,0.5,0.5
55,55,LINCS,False,LogisticRegression,0.709,0.5,0.5
56,56,LINCS,False,LogisticRegression,0.786,0.5,0.5
57,57,LINCS,False,LogisticRegression,0.744,0.5,0.5
58,58,LINCS,False,LogisticRegression,0.658,0.5,0.5
59,59,LINCS,False,LogisticRegression,0.726,0.5,0.5
60,60,LINCS,False,LogisticRegression,0.726,0.5,0.5
61,61,LINCS,False,LogisticRegression,0.735,0.5,0.5
62,62,LINCS,False,LogisticRegression,0.769,0.5,0.5
