,iter,geneset,stratified,model,test accuracy,test balanced accuracy,Test_ROC
0,0,LINCS,False,Poly_SVC,0.786,0.515,-1
1,1,LINCS,False,Poly_SVC,0.761,0.54,-1
2,2,LINCS,False,Poly_SVC,0.761,0.548,-1
3,3,LINCS,False,Poly_SVC,0.222,0.5,-1
4,4,LINCS,False,Poly_SVC,0.735,0.505,-1
5,5,LINCS,False,Poly_SVC,0.726,0.5,-1
6,6,LINCS,False,Poly_SVC,0.675,0.485,-1
7,7,LINCS,False,Poly_SVC,0.761,0.5,-1
8,8,LINCS,False,Poly_SVC,0.744,0.537,-1
9,9,LINCS,False,Poly_SVC,0.701,0.5,-1
10,10,LINCS,False,Poly_SVC,0.795,0.515,-1
11,11,LINCS,False,Poly_SVC,0.744,0.533,-1
12,12,LINCS,False,Poly_SVC,0.667,0.5,-1
13,13,LINCS,False,Poly_SVC,0.726,0.51,-1
14,14,LINCS,False,Poly_SVC,0.812,0.588,-1
15,15,LINCS,False,Poly_SVC,0.667,0.502,-1
16,16,LINCS,False,Poly_SVC,0.786,0.537,-1
17,17,LINCS,False,Poly_SVC,0.778,0.495,-1
18,18,LINCS,False,Poly_SVC,0.726,0.5,-1
19,19,LINCS,False,Poly_SVC,0.735,0.5,-1
20,20,LINCS,False,Poly_SVC,0.752,0.494,-1
21,21,LINCS,False,Poly_SVC,0.709,0.531,-1
22,22,LINCS,False,Poly_SVC,0.752,0.523,-1
23,23,LINCS,False,Poly_SVC,0.709,0.503,-1
24,24,LINCS,False,Poly_SVC,0.761,0.5,-1
25,25,LINCS,False,Poly_SVC,0.761,0.555,-1
26,26,LINCS,False,Poly_SVC,0.735,0.527,-1
27,27,LINCS,False,Poly_SVC,0.684,0.529,-1
28,28,LINCS,False,Poly_SVC,0.701,0.497,-1
29,29,LINCS,False,Poly_SVC,0.675,0.476,-1
30,30,LINCS,False,Poly_SVC,0.735,0.516,-1
31,31,LINCS,False,Poly_SVC,0.752,0.494,-1
32,32,LINCS,False,Poly_SVC,0.709,0.514,-1
33,33,LINCS,False,Poly_SVC,0.786,0.51,-1
34,34,LINCS,False,Poly_SVC,0.761,0.512,-1
35,35,LINCS,False,Poly_SVC,0.709,0.5,-1
36,36,LINCS,False,Poly_SVC,0.752,0.574,-1
37,37,LINCS,False,Poly_SVC,0.735,0.512,-1
38,38,LINCS,False,Poly_SVC,0.726,0.529,-1
39,39,LINCS,False,Poly_SVC,0.726,0.511,-1
40,40,LINCS,False,Poly_SVC,0.752,0.517,-1
41,41,LINCS,False,Poly_SVC,0.803,0.567,-1
42,42,LINCS,False,Poly_SVC,0.744,0.494,-1
43,43,LINCS,False,Poly_SVC,0.744,0.545,-1
44,44,LINCS,False,Poly_SVC,0.752,0.517,-1
45,45,LINCS,False,Poly_SVC,0.299,0.5,-1
46,46,LINCS,False,Poly_SVC,0.769,0.5,-1
47,47,LINCS,False,Poly_SVC,0.752,0.511,-1
48,48,LINCS,False,Poly_SVC,0.65,0.481,-1
49,49,LINCS,False,Poly_SVC,0.744,0.494,-1
50,50,LINCS,False,Poly_SVC,0.752,0.519,-1
51,51,LINCS,False,Poly_SVC,0.718,0.532,-1
52,52,LINCS,False,Poly_SVC,0.701,0.497,-1
53,53,LINCS,False,Poly_SVC,0.744,0.494,-1
54,54,LINCS,False,Poly_SVC,0.752,0.517,-1
55,55,LINCS,False,Poly_SVC,0.761,0.537,-1
56,56,LINCS,False,Poly_SVC,0.726,0.529,-1
57,57,LINCS,False,Poly_SVC,0.692,0.492,-1
58,58,LINCS,False,Poly_SVC,0.752,0.532,-1
59,59,LINCS,False,Poly_SVC,0.752,0.539,-1
60,60,LINCS,False,Poly_SVC,0.726,0.515,-1
61,61,LINCS,False,Poly_SVC,0.744,0.526,-1
62,62,LINCS,False,Poly_SVC,0.641,0.493,-1
63,63,LINCS,False,Poly_SVC,0.761,0.517,-1
64,64,LINCS,False,Poly_SVC,0.726,0.519,-1
65,65,LINCS,False,Poly_SVC,0.718,0.494,-1
66,66,LINCS,False,Poly_SVC,0.667,0.558,-1
67,67,LINCS,False,Poly_SVC,0.65,0.495,-1
68,68,LINCS,False,Poly_SVC,0.726,0.505,-1
69,69,LINCS,False,Poly_SVC,0.752,0.489,-1
70,70,LINCS,False,Poly_SVC,0.726,0.494,-1
71,71,LINCS,False,Poly_SVC,0.726,0.515,-1
72,72,LINCS,False,Poly_SVC,0.675,0.503,-1
73,73,LINCS,False,Poly_SVC,0.222,0.5,-1
74,74,LINCS,False,Poly_SVC,0.752,0.489,-1
75,75,LINCS,False,Poly_SVC,0.718,0.523,-1
76,76,LINCS,False,Poly_SVC,0.769,0.555,-1
77,77,LINCS,False,Poly_SVC,0.701,0.494,-1
78,78,LINCS,False,Poly_SVC,0.778,0.509,-1
79,79,LINCS,False,Poly_SVC,0.803,0.495,-1
80,80,LINCS,False,Poly_SVC,0.752,0.5,-1
81,81,LINCS,False,Poly_SVC,0.769,0.495,-1
82,82,LINCS,False,Poly_SVC,0.291,0.5,-1
