Drug,Tissue,Model,Features,Test Accuracy,Test Balanced Accuracy,Test ROC AUC
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5,0.6335403726708075
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5496894409937888,0.59472049689441
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic1,0.8,0.5962732919254659,0.6475155279503105
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5248447204968945,0.7360248447204969
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic1,0.7833333333333333,0.5357142857142857,0.748447204968944
Atezo,BLCA,LogisticRegression,cosmic1,0.7166666666666667,0.49223602484472045,0.6381987577639752
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5248447204968945,0.6614906832298136
Atezo,BLCA,LogisticRegression,cosmic1,0.7833333333333333,0.5357142857142857,0.6987577639751553
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic1,0.75,0.4891304347826087,0.6863354037267081
Atezo,BLCA,LogisticRegression,cosmic1,0.7333333333333333,0.4782608695652174,0.686335403726708
Atezo,BLCA,LogisticRegression,cosmic1,0.7833333333333333,0.5357142857142857,0.6599378881987578
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5745341614906833,0.6428571428571429
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5496894409937888,0.68944099378882
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.6242236024844721,0.7624223602484472
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic1,0.8,0.5962732919254659,0.7298136645962733
Atezo,BLCA,LogisticRegression,cosmic1,0.7333333333333333,0.5031055900621119,0.639751552795031
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5,0.6677018633540373
Atezo,BLCA,LogisticRegression,cosmic1,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic1,0.7333333333333333,0.4782608695652174,0.6086956521739131
Atezo,BLCA,LogisticRegression,cosmic2,0.75,0.4891304347826087,0.6009316770186335
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5,0.5046583850931677
Atezo,BLCA,LogisticRegression,cosmic2,0.7833333333333333,0.5357142857142857,0.5962732919254659
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic2,0.8,0.5714285714285714,0.6645962732919254
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic2,0.7,0.5062111801242236,0.5232919254658386
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5496894409937888,0.6009316770186335
Atezo,BLCA,LogisticRegression,cosmic2,0.7,0.5062111801242236,0.41304347826086957
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic2,0.75,0.4891304347826087,0.4239130434782608
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic2,0.7333333333333333,0.5031055900621119,0.7577639751552795
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic2,0.7333333333333333,0.4782608695652174,0.4332298136645963
Atezo,BLCA,LogisticRegression,cosmic2,0.7333333333333333,0.5031055900621119,0.6273291925465838
Atezo,BLCA,LogisticRegression,cosmic2,0.75,0.4891304347826087,0.6863354037267081
Atezo,BLCA,LogisticRegression,cosmic2,0.7833333333333333,0.5357142857142857,0.6739130434782609
Atezo,BLCA,LogisticRegression,cosmic2,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic,0.8,0.5714285714285714,0.6521739130434783
Atezo,BLCA,LogisticRegression,cosmic,0.7166666666666667,0.4673913043478261,0.5465838509316769
Atezo,BLCA,LogisticRegression,cosmic,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic,0.7666666666666667,0.5,0.5
Atezo,BLCA,LogisticRegression,cosmic,0.7666666666666667,0.5,0.5
