Drug,Feature Set,Tissue,Model,Metric,P-str,P,adj_p
Nivo,COSMIC,KIRC,Logistic Regression,Accuracy,0.08508590363352612,0.08508590363352612,0.0994942050284932
Nivo,KEGG,KIRC,Logistic Regression,Accuracy,<0.005,1.4718461579273089e-06,5.240382797960887e-06
Nivo,CGL,KIRC,Logistic Regression,Accuracy,0.02634047845720258,0.02634047845720258,0.061461116400139355
Nivo,MDSIG-DB,KIRC,Logistic Regression,Accuracy,0.08528074716727987,0.08528074716727987,0.0994942050284932
Nivo,IMPRES,KIRC,Logistic Regression,Accuracy,<0.005,1.4972522279888246e-06,5.240382797960887e-06
Nivo,ALL,KIRC,Logistic Regression,Accuracy,0.08488326184314907,0.08488326184314907,0.0994942050284932
Nivo,IMM. FEAT,KIRC,Logistic Regression,Accuracy,0.22089750653894435,0.22089750653894435,0.22089750653894435
Nivo,COSMIC,KIRC,Logistic Regression,Balanced Accuracy,0.028557921556098986,0.028557921556098986,0.03998109017853858
Nivo,KEGG,KIRC,Logistic Regression,Balanced Accuracy,0.13227560213212491,0.13227560213212491,0.13227560213212491
Nivo,CGL,KIRC,Logistic Regression,Balanced Accuracy,<0.005,0.00024952146936971383,0.0008733251427939984
Nivo,MDSIG-DB,KIRC,Logistic Regression,Balanced Accuracy,0.06587381923087895,0.06587381923087895,0.07685278910269212
Nivo,IMPRES,KIRC,Logistic Regression,Balanced Accuracy,0.010368043242715924,0.010368043242715924,0.018144075674752867
Nivo,ALL,KIRC,Logistic Regression,Balanced Accuracy,<0.005,1.6394716111997635e-05,0.00011476301278398345
Nivo,IMM. FEAT,KIRC,Logistic Regression,Balanced Accuracy,<0.005,0.004562082658222881,0.010644859535853389
Nivo,COSMIC,KIRC,Logistic Regression,Area Under ROC Curve,<0.005,0.0003160026940527603,0.0022120188583693223
Nivo,KEGG,KIRC,Logistic Regression,Area Under ROC Curve,0.4962451523403848,0.4962451523403848,0.4962451523403848
Nivo,CGL,KIRC,Logistic Regression,Area Under ROC Curve,<0.005,0.0022414565930890438,0.007845098075811654
Nivo,MDSIG-DB,KIRC,Logistic Regression,Area Under ROC Curve,0.015289018413000599,0.015289018413000599,0.021404625778200837
Nivo,IMPRES,KIRC,Logistic Regression,Area Under ROC Curve,0.0073065173616904955,0.0073065173616904955,0.012786405382958367
Nivo,ALL,KIRC,Logistic Regression,Area Under ROC Curve,0.0063667303313827295,0.0063667303313827295,0.012786405382958367
Nivo,IMM. FEAT,KIRC,Logistic Regression,Area Under ROC Curve,0.48876862100411955,0.48876862100411955,0.4962451523403848
Nivo,COSMIC,KIRC,Random Forest,Accuracy,0.4671247157762519,0.4671247157762519,0.4671247157762519
Nivo,KEGG,KIRC,Random Forest,Accuracy,<0.005,0.0001738953650289211,0.0006119226546773263
Nivo,CGL,KIRC,Random Forest,Accuracy,0.02634802318127881,0.02634802318127881,0.061478720756317225
Nivo,MDSIG-DB,KIRC,Random Forest,Accuracy,0.4668062588619182,0.4668062588619182,0.4671247157762519
Nivo,IMPRES,KIRC,Random Forest,Accuracy,<0.005,0.0001748350441935218,0.0006119226546773263
Nivo,ALL,KIRC,Random Forest,Accuracy,0.2221576172976769,0.2221576172976769,0.3110206642167477
Nivo,IMM. FEAT,KIRC,Random Forest,Accuracy,0.22089750653894435,0.22089750653894435,0.3110206642167477
Nivo,COSMIC,KIRC,Random Forest,Balanced Accuracy,0.5881767501719541,0.5881767501719541,0.8234474502407357
Nivo,KEGG,KIRC,Random Forest,Balanced Accuracy,0.03913112960319663,0.03913112960319663,0.22643885363684005
Nivo,CGL,KIRC,Random Forest,Balanced Accuracy,0.5134163908734626,0.5134163908734626,0.8234474502407357
Nivo,MDSIG-DB,KIRC,Random Forest,Balanced Accuracy,0.968003261207219,0.968003261207219,0.968003261207219
Nivo,IMPRES,KIRC,Random Forest,Balanced Accuracy,0.9344049676138482,0.9344049676138482,0.968003261207219
Nivo,ALL,KIRC,Random Forest,Balanced Accuracy,0.09704522298721716,0.09704522298721716,0.22643885363684005
Nivo,IMM. FEAT,KIRC,Random Forest,Balanced Accuracy,0.08135252116154294,0.08135252116154294,0.22643885363684005
Nivo,COSMIC,KIRC,Random Forest,Area Under ROC Curve,0.5603772476811268,0.5603772476811268,0.8154719889923348
Nivo,KEGG,KIRC,Random Forest,Area Under ROC Curve,0.019742906875547202,0.019742906875547202,0.13820034812883042
Nivo,CGL,KIRC,Random Forest,Area Under ROC Curve,0.1450295481746893,0.1450295481746893,0.5076034186114126
Nivo,MDSIG-DB,KIRC,Random Forest,Area Under ROC Curve,0.8154719889923348,0.8154719889923348,0.8154719889923348
Nivo,IMPRES,KIRC,Random Forest,Area Under ROC Curve,0.42560084091804173,0.42560084091804173,0.8154719889923348
Nivo,ALL,KIRC,Random Forest,Area Under ROC Curve,0.6001627488907161,0.6001627488907161,0.8154719889923348
Nivo,IMM. FEAT,KIRC,Random Forest,Area Under ROC Curve,0.7560803138058297,0.7560803138058297,0.8154719889923348
