Drug,Feature Set,Tissue,Model,Metric,P-str,P,adj_p
Nivo,COSMIC,SKCM,Logistic Regression,Accuracy,0.9071308932870312,0.9071308932870312,0.9071308932870312
Nivo,KEGG,SKCM,Logistic Regression,Accuracy,0.8306739105303704,0.8306739105303704,0.9071308932870312
Nivo,CGL,SKCM,Logistic Regression,Accuracy,0.3114376435282328,0.3114376435282328,0.4360127009395259
Nivo,MDSIG-DB,SKCM,Logistic Regression,Accuracy,0.10263896259824579,0.10263896259824579,0.23949091272924017
Nivo,IMPRES,SKCM,Logistic Regression,Accuracy,0.2201965944819887,0.2201965944819887,0.38534404034348024
Nivo,ALL,SKCM,Logistic Regression,Accuracy,<0.005,0.001513290728903452,0.010593035102324164
Nivo,IMM. FEAT,SKCM,Logistic Regression,Accuracy,0.07267419533239355,0.07267419533239355,0.23949091272924017
Nivo,COSMIC,SKCM,Logistic Regression,Balanced Accuracy,0.05424677959731696,0.05424677959731696,0.06328790953020312
Nivo,KEGG,SKCM,Logistic Regression,Balanced Accuracy,0.015987760343988758,0.015987760343988758,0.027978580601980326
Nivo,CGL,SKCM,Logistic Regression,Balanced Accuracy,0.006178220549750609,0.006178220549750609,0.014415847949418088
Nivo,MDSIG-DB,SKCM,Logistic Regression,Balanced Accuracy,0.15662879744037495,0.15662879744037495,0.15662879744037495
Nivo,IMPRES,SKCM,Logistic Regression,Balanced Accuracy,<0.005,0.0003543657872960351,0.001240280255536123
Nivo,ALL,SKCM,Logistic Regression,Balanced Accuracy,0.04536715580674165,0.04536715580674165,0.06328790953020312
Nivo,IMM. FEAT,SKCM,Logistic Regression,Balanced Accuracy,<0.005,7.626404124756253e-08,5.338482887329377e-07
Nivo,COSMIC,SKCM,Logistic Regression,Area Under ROC Curve,<0.005,0.0008256744469338996,0.0019265737095124325
Nivo,KEGG,SKCM,Logistic Regression,Area Under ROC Curve,0.009799857785216992,0.009799857785216992,0.011433167416086493
Nivo,CGL,SKCM,Logistic Regression,Area Under ROC Curve,<0.005,0.0026127160021580864,0.004572253003776652
Nivo,MDSIG-DB,SKCM,Logistic Regression,Area Under ROC Curve,0.025929108269444442,0.025929108269444442,0.025929108269444442
Nivo,IMPRES,SKCM,Logistic Regression,Area Under ROC Curve,<0.005,1.4984591252389256e-05,5.24460693833624e-05
Nivo,ALL,SKCM,Logistic Regression,Area Under ROC Curve,<0.005,0.004718833213452431,0.006606366498833402
Nivo,IMM. FEAT,SKCM,Logistic Regression,Area Under ROC Curve,<0.005,1.4625115680979876e-08,1.0237580976685913e-07
Nivo,COSMIC,SKCM,Random Forest,Accuracy,<0.005,0.0018723834842632194,0.013106684389842537
Nivo,KEGG,SKCM,Random Forest,Accuracy,0.4251433038649791,0.4251433038649791,0.5339140808242556
Nivo,CGL,SKCM,Random Forest,Accuracy,0.47217672602755645,0.47217672602755645,0.5339140808242556
Nivo,MDSIG-DB,SKCM,Random Forest,Accuracy,0.08181761891398463,0.08181761891398463,0.1431808330994731
Nivo,IMPRES,SKCM,Random Forest,Accuracy,0.059512880116530054,0.059512880116530054,0.13886338693857014
Nivo,ALL,SKCM,Random Forest,Accuracy,0.5339140808242556,0.5339140808242556,0.5339140808242556
Nivo,IMM. FEAT,SKCM,Random Forest,Accuracy,0.013469310270049486,0.013469310270049486,0.047142585945173204
Nivo,COSMIC,SKCM,Random Forest,Balanced Accuracy,<0.005,0.0003836791395674726,0.0008952513256574361
Nivo,KEGG,SKCM,Random Forest,Balanced Accuracy,0.05710784599358216,0.05710784599358216,0.06972501093185002
Nivo,CGL,SKCM,Random Forest,Balanced Accuracy,0.04563719538760671,0.04563719538760671,0.06972501093185002
Nivo,MDSIG-DB,SKCM,Random Forest,Balanced Accuracy,0.3129762395868454,0.3129762395868454,0.3129762395868454
Nivo,IMPRES,SKCM,Random Forest,Balanced Accuracy,<0.005,0.0002626731223155333,0.0008952513256574361
Nivo,ALL,SKCM,Random Forest,Balanced Accuracy,0.05976429508444287,0.05976429508444287,0.06972501093185002
Nivo,IMM. FEAT,SKCM,Random Forest,Balanced Accuracy,<0.005,4.9614222151634134e-05,0.00034729955506143895
Nivo,COSMIC,SKCM,Random Forest,Area Under ROC Curve,<0.005,4.54136099359965e-07,3.1789526955197555e-06
Nivo,KEGG,SKCM,Random Forest,Area Under ROC Curve,0.006995447415065544,0.006995447415065544,0.006995447415065544
Nivo,CGL,SKCM,Random Forest,Area Under ROC Curve,<0.005,0.00178496060694509,0.0020824540414359385
Nivo,MDSIG-DB,SKCM,Random Forest,Area Under ROC Curve,<0.005,0.0005529371525551773,0.0009676400169715604
Nivo,IMPRES,SKCM,Random Forest,Area Under ROC Curve,<0.005,2.418383357254858e-06,8.464341750392004e-06
Nivo,ALL,SKCM,Random Forest,Area Under ROC Curve,<0.005,0.0002447736365036623,0.0005711384851752121
Nivo,IMM. FEAT,SKCM,Random Forest,Area Under ROC Curve,<0.005,0.0016707639271962048,0.0020824540414359385
