Drug,Tissue,Model,Features,Test Accuracy,Test Balanced Accuracy,Test ROC AUC
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.6523809523809523,0.619047619047619
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.5909090909090909,0.4714285714285714,0.6857142857142857
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.6142857142857143,0.6
Nivo,SKCM,LogisticRegression,cosmic1,0.5454545454545454,0.4380952380952381,0.6190476190476191
Nivo,SKCM,LogisticRegression,cosmic1,0.7272727272727273,0.6476190476190476,0.5809523809523809
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.4090909090909091,0.45238095238095233,0.5047619047619047
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.6523809523809523,0.6857142857142857
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.6523809523809523,0.7619047619047619
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.6142857142857143,0.7142857142857143
Nivo,SKCM,LogisticRegression,cosmic1,0.5,0.40476190476190477,0.5523809523809524
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6363636363636364,0.5047619047619047,0.6571428571428571
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.5454545454545454,0.5142857142857142,0.5904761904761905
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.6363636363636364,0.6190476190476191,0.6285714285714286
Nivo,SKCM,LogisticRegression,cosmic2,0.5909090909090909,0.5095238095238095,0.5619047619047619
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.5454545454545454,0.5142857142857142,0.4666666666666666
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.5454545454545454,0.47619047619047616,0.6000000000000001
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
