,iter,geneset,stratified,model,test accuracy,test balanced accuracy,Test_ROC
0,0,LINCS,False,RandomForest,0.7920792079207921,0.5911796536796536,0.6866883116883117
1,1,LINCS,False,RandomForest,0.7821782178217822,0.5416666666666666,0.7478354978354979
2,2,LINCS,False,RandomForest,0.801980198019802,0.5753086419753086,0.5925925925925924
3,3,LINCS,False,RandomForest,0.8415841584158416,0.6042635658914729,0.7620155038759691
4,4,LINCS,False,RandomForest,0.801980198019802,0.574775353016688,0.6148908857509627
5,5,LINCS,False,RandomForest,0.7425742574257426,0.48630952380952386,0.5380952380952381
6,6,LINCS,False,RandomForest,0.7821782178217822,0.49369747899159666,0.6088935574229691
7,7,LINCS,False,RandomForest,0.7722772277227723,0.5351731601731602,0.6937229437229439
8,8,LINCS,False,RandomForest,0.7920792079207921,0.5894648829431438,0.5880713489409142
9,9,LINCS,False,RandomForest,0.8118811881188119,0.6191358024691358,0.6382716049382716
10,10,LINCS,False,RandomForest,0.801980198019802,0.5545571245186136,0.6771501925545571
11,11,LINCS,False,RandomForest,0.7524752475247525,0.5268421052631579,0.6089473684210527
12,12,LINCS,False,RandomForest,0.8118811881188119,0.5814814814814815,0.7117283950617285
13,13,LINCS,False,RandomForest,0.7623762376237624,0.5089186176142698,0.6259754738015608
14,14,LINCS,False,RandomForest,0.801980198019802,0.5545571245186136,0.6213093709884466
15,15,LINCS,False,RandomForest,0.7821782178217822,0.5221437740693196,0.6193838254172015
16,16,LINCS,False,RandomForest,0.7524752475247525,0.49255952380952384,0.5238095238095237
17,17,LINCS,False,RandomForest,0.7524752475247525,0.48363286264441596,0.5673940949935815
18,18,LINCS,False,RandomForest,0.8217821782178217,0.5435073627844712,0.5943775100401606
19,19,LINCS,False,RandomForest,0.801980198019802,0.5141206675224647,0.6540436456996149
20,20,LINCS,False,RandomForest,0.7821782178217822,0.5677257525083612,0.6884057971014493
21,21,LINCS,False,RandomForest,0.8118811881188119,0.5584733893557423,0.7016806722689075
22,22,LINCS,False,RandomForest,0.7623762376237624,0.5037399309551208,0.6979286536248561
23,23,LINCS,False,RandomForest,0.7623762376237624,0.5143398268398268,0.676948051948052
24,24,LINCS,False,RandomForest,0.7425742574257426,0.5467221135029354,0.591242661448141
25,25,LINCS,False,RandomForest,0.801980198019802,0.5618527042577676,0.5765247410817032
26,26,LINCS,False,RandomForest,0.8316831683168316,0.5938375350140056,0.7514005602240896
27,27,LINCS,False,RandomForest,0.693069306930693,0.5086306098964327,0.5759493670886076
28,28,LINCS,False,RandomForest,0.8118811881188119,0.6041666666666666,0.75
29,29,LINCS,False,RandomForest,0.801980198019802,0.5454545454545454,0.5693325661680092
30,30,LINCS,False,RandomForest,0.8118811881188119,0.6191358024691358,0.711111111111111
31,31,LINCS,False,RandomForest,0.7425742574257426,0.5420420420420421,0.6891891891891893
32,32,LINCS,False,RandomForest,0.8118811881188119,0.5374832663989291,0.7396251673360107
33,33,LINCS,False,RandomForest,0.7623762376237624,0.5714285714285714,0.7015655577299412
34,34,LINCS,False,RandomForest,0.7920792079207921,0.5434782608695652,0.6733556298773691
35,35,LINCS,False,RandomForest,0.7722772277227723,0.5638528138528138,0.6942640692640693
36,36,LINCS,False,RandomForest,0.801980198019802,0.6129629629629629,0.6882716049382717
37,37,LINCS,False,RandomForest,0.7425742574257426,0.5574136008918618,0.6622073578595318
38,38,LINCS,False,RandomForest,0.8118811881188119,0.5809906291834003,0.685408299866131
39,39,LINCS,False,RandomForest,0.7722772277227723,0.5100690448791715,0.6392405063291139
40,40,LINCS,False,RandomForest,0.8118811881188119,0.525,0.5222222222222223
41,41,LINCS,False,RandomForest,0.7029702970297029,0.53125,0.7241847826086957
42,42,LINCS,False,RandomForest,0.801980198019802,0.5589285714285714,0.6461309523809524
43,43,LINCS,False,RandomForest,0.8118811881188119,0.5438271604938272,0.6827160493827161
44,44,LINCS,False,RandomForest,0.8217821782178217,0.6393398268398268,0.6926406926406926
45,45,LINCS,False,RandomForest,0.8118811881188119,0.6829689298043728,0.7289988492520137
46,46,LINCS,False,RandomForest,0.8118811881188119,0.5593023255813954,0.6
47,47,LINCS,False,RandomForest,0.8415841584158416,0.591919191919192,0.6505050505050505
48,48,LINCS,False,RandomForest,0.7920792079207921,0.5496715927750411,0.6707717569786535
49,49,LINCS,False,RandomForest,0.8118811881188119,0.5157295850066934,0.7744310575635877
50,50,LINCS,False,RandomForest,0.7524752475247525,0.5508658008658008,0.6293290043290043
51,51,LINCS,False,RandomForest,0.801980198019802,0.5782508630609896,0.7681242807825086
52,52,LINCS,False,RandomForest,0.7029702970297029,0.5430875576036867,0.6221198156682027
53,53,LINCS,False,RandomForest,0.8118811881188119,0.5814814814814815,0.6444444444444445
54,54,LINCS,False,RandomForest,0.7326732673267327,0.5117617617617618,0.6141141141141141
55,55,LINCS,False,RandomForest,0.7623762376237624,0.5549052396878484,0.6688963210702341
56,56,LINCS,False,RandomForest,0.8217821782178217,0.5136029411764707,0.625
57,57,LINCS,False,RandomForest,0.8514851485148515,0.5833333333333334,0.6024096385542168
58,58,LINCS,False,RandomForest,0.7920792079207921,0.5434782608695652,0.6739130434782609
59,59,LINCS,False,RandomForest,0.8415841584158416,0.5990629183400268,0.7085006693440429
60,60,LINCS,False,RandomForest,0.8217821782178217,0.5909090909090909,0.7255466052934408
61,61,LINCS,False,RandomForest,0.7128712871287128,0.5822510822510822,0.599025974025974
62,62,LINCS,False,RandomForest,0.7524752475247525,0.5221861471861472,0.6877705627705628
63,63,LINCS,False,RandomForest,0.8118811881188119,0.5438271604938272,0.7037037037037037
64,64,LINCS,False,RandomForest,0.8118811881188119,0.5626543209876543,0.7432098765432098
65,65,LINCS,False,RandomForest,0.8118811881188119,0.6173762945914845,0.7077100115074799
66,66,LINCS,False,RandomForest,0.7524752475247525,0.5402631578947368,0.6536842105263158
67,67,LINCS,False,RandomForest,0.7722772277227723,0.5100690448791715,0.6219792865362486
68,68,LINCS,False,RandomForest,0.7722772277227723,0.5815826330532213,0.6673669467787114
69,69,LINCS,False,RandomForest,0.7821782178217822,0.5288690476190476,0.6267857142857143
70,70,LINCS,False,RandomForest,0.7821782178217822,0.5830546265328874,0.6950947603121517
71,71,LINCS,False,RandomForest,0.801980198019802,0.5946490218642118,0.6680092059838895
72,72,LINCS,False,RandomForest,0.7524752475247525,0.5038510911424904,0.5012836970474968
73,73,LINCS,False,RandomForest,0.7227722772277227,0.5330234833659491,0.6404109589041096
74,74,LINCS,False,RandomForest,0.7524752475247525,0.5221861471861472,0.7256493506493507
75,75,LINCS,False,RandomForest,0.8217821782178217,0.55,0.6320987654320989
76,76,LINCS,False,RandomForest,0.801980198019802,0.580546265328874,0.7045707915273133
77,77,LINCS,False,RandomForest,0.7920792079207921,0.5888960205391528,0.5718870346598203
78,78,LINCS,False,RandomForest,0.7722772277227723,0.537962962962963,0.601851851851852
79,79,LINCS,False,RandomForest,0.8613861386138614,0.6328647925033467,0.6800535475234271
80,80,LINCS,False,RandomForest,0.801980198019802,0.5413690476190476,0.6732142857142857
81,81,LINCS,False,RandomForest,0.8217821782178217,0.5263157894736842,0.7554557124518613
82,82,LINCS,False,RandomForest,0.8514851485148515,0.5588235294117647,0.7044817927170868
83,83,LINCS,False,RandomForest,0.900990099009901,0.6651515151515152,0.7808080808080808
84,84,LINCS,False,RandomForest,0.7326732673267327,0.5117617617617618,0.6551551551551552
85,85,LINCS,False,RandomForest,0.8118811881188119,0.525,0.7154320987654322
86,86,LINCS,False,RandomForest,0.7326732673267327,0.5117617617617618,0.6966966966966966
87,87,LINCS,False,RandomForest,0.8415841584158416,0.5767441860465117,0.5341085271317829
88,88,LINCS,False,RandomForest,0.7623762376237624,0.5573593073593074,0.6826298701298701
89,89,LINCS,False,RandomForest,0.8118811881188119,0.6027443105756358,0.6606425702811245
90,90,LINCS,False,RandomForest,0.8415841584158416,0.6188271604938271,0.6462962962962964
91,91,LINCS,False,RandomForest,0.801980198019802,0.5652173913043478,0.6889632107023411
92,92,LINCS,False,RandomForest,0.6831683168316832,0.5167572463768115,0.5765398550724639
93,93,LINCS,False,RandomForest,0.7029702970297029,0.5777591973244147,0.6298773690078038
94,94,LINCS,False,RandomForest,0.8217821782178217,0.5869704749679076,0.6790757381258022
95,95,LINCS,False,RandomForest,0.8118811881188119,0.6003086419753086,0.6024691358024692
96,96,LINCS,False,RandomForest,0.7920792079207921,0.5526785714285715,0.7083333333333334
97,97,LINCS,False,RandomForest,0.7623762376237624,0.6012820512820513,0.6512820512820513
98,98,LINCS,False,RandomForest,0.8514851485148515,0.6057422969187675,0.6869747899159665
99,99,LINCS,False,RandomForest,0.801980198019802,0.5753086419753086,0.6370370370370371
100,0,COSMIC,False,RandomForest,0.7920792079207921,0.5883199079401611,0.7197928653624857
101,1,COSMIC,False,RandomForest,0.7128712871287128,0.4982482482482482,0.6569069069069069
102,2,COSMIC,False,RandomForest,0.7920792079207921,0.5503086419753086,0.6660493827160494
103,3,COSMIC,False,RandomForest,0.7425742574257426,0.4807692307692308,0.5930880713489409
104,4,COSMIC,False,RandomForest,0.801980198019802,0.5,0.6660493827160494
105,5,COSMIC,False,RandomForest,0.801980198019802,0.5545571245186136,0.6328626444159178
106,6,COSMIC,False,RandomForest,0.7623762376237624,0.5,0.7267316017316017
107,7,COSMIC,False,RandomForest,0.7722772277227723,0.537962962962963,0.5450617283950617
108,8,COSMIC,False,RandomForest,0.7623762376237624,0.5430194805194806,0.6785714285714286
109,9,COSMIC,False,RandomForest,0.8118811881188119,0.6022853957636567,0.7168338907469343
110,10,COSMIC,False,RandomForest,0.8118811881188119,0.5809906291834003,0.6365461847389557
111,11,COSMIC,False,RandomForest,0.7128712871287128,0.5217717717717718,0.5815815815815816
112,12,COSMIC,False,RandomForest,0.7920792079207921,0.5555235903337169,0.6369390103567318
113,13,COSMIC,False,RandomForest,0.7623762376237624,0.5506172839506173,0.6395061728395062
114,14,COSMIC,False,RandomForest,0.7425742574257426,0.5300324675324675,0.6958874458874459
115,15,COSMIC,False,RandomForest,0.7821782178217822,0.5625802310654686,0.5924261874197689
116,16,COSMIC,False,RandomForest,0.7920792079207921,0.5391254315304949,0.5736478711162255
117,17,COSMIC,False,RandomForest,0.8316831683168316,0.5938375350140056,0.6561624649859944
118,18,COSMIC,False,RandomForest,0.7227722772277227,0.5708786231884058,0.7853260869565217
119,19,COSMIC,False,RandomForest,0.7623762376237624,0.524247491638796,0.6460423634336677
120,20,COSMIC,False,RandomForest,0.7623762376237624,0.5089186176142698,0.6092530657748049
121,21,COSMIC,False,RandomForest,0.7920792079207921,0.5282413350449293,0.6014120667522465
122,22,COSMIC,False,RandomForest,0.7623762376237624,0.5824363992172211,0.6722113502935421
123,23,COSMIC,False,RandomForest,0.7524752475247525,0.5317948717948718,0.7512820512820513
124,24,COSMIC,False,RandomForest,0.801980198019802,0.5564814814814815,0.6537037037037037
125,25,COSMIC,False,RandomForest,0.7524752475247525,0.5929577464788732,0.6934272300469483
126,26,COSMIC,False,RandomForest,0.7425742574257426,0.5538038038038038,0.5530530530530531
127,27,COSMIC,False,RandomForest,0.7425742574257426,0.5376923076923077,0.601025641025641
128,28,COSMIC,False,RandomForest,0.801980198019802,0.4879518072289157,0.6626506024096386
129,29,COSMIC,False,RandomForest,0.7524752475247525,0.5268421052631579,0.5942105263157895
130,30,COSMIC,False,RandomForest,0.801980198019802,0.574775353016688,0.7413350449293966
131,31,COSMIC,False,RandomForest,0.801980198019802,0.5946490218642118,0.667433831990794
132,32,COSMIC,False,RandomForest,0.8118811881188119,0.5626543209876543,0.7104938271604939
133,33,COSMIC,False,RandomForest,0.8415841584158416,0.5528711484593838,0.653361344537815
134,34,COSMIC,False,RandomForest,0.7821782178217822,0.6030166880616175,0.6264441591784339
135,35,COSMIC,False,RandomForest,0.7623762376237624,0.5602631578947368,0.641578947368421
136,36,COSMIC,False,RandomForest,0.7623762376237624,0.5334210526315789,0.6621052631578948
137,37,COSMIC,False,RandomForest,0.7920792079207921,0.5484595635430038,0.5847240051347882
138,38,COSMIC,False,RandomForest,0.7623762376237624,0.5736842105263158,0.5268421052631579
139,39,COSMIC,False,RandomForest,0.8316831683168316,0.6127976190476191,0.6297619047619047
140,40,COSMIC,False,RandomForest,0.801980198019802,0.580546265328874,0.725752508361204
141,41,COSMIC,False,RandomForest,0.8118811881188119,0.5438271604938272,0.5876543209876544
142,42,COSMIC,False,RandomForest,0.8316831683168316,0.5728498074454429,0.6598202824133504
143,43,COSMIC,False,RandomForest,0.7029702970297029,0.5235897435897436,0.5861538461538462
144,44,COSMIC,False,RandomForest,0.7326732673267327,0.5398727984344422,0.7108610567514677
145,45,COSMIC,False,RandomForest,0.7623762376237624,0.551025641025641,0.6897435897435897
146,46,COSMIC,False,RandomForest,0.7524752475247525,0.5178372352285395,0.6566332218506131
147,47,COSMIC,False,RandomForest,0.7920792079207921,0.5526785714285715,0.6428571428571428
148,48,COSMIC,False,RandomForest,0.7920792079207921,0.5254350736278447,0.7637215528781794
149,49,COSMIC,False,RandomForest,0.7623762376237624,0.536536248561565,0.6449942462600691
150,50,COSMIC,False,RandomForest,0.8217821782178217,0.5667522464698331,0.5327342747111681
151,51,COSMIC,False,RandomForest,0.801980198019802,0.5618527042577676,0.7502876869965478
152,52,COSMIC,False,RandomForest,0.7623762376237624,0.5635897435897437,0.6964102564102564
